age,location_type,driving_points,years_driving_experience,vehicle_type,annual_mileage,credit_score,previous_claims,marital_status,policy_premium
62,Suburban,2,44,Truck,16455,788,0,Married,943.93
37,Rural,2,19,Sedan,11021,739,0,Married,1089.18
18,Suburban,2,0,SUV,12342,636,1,Married,1690.51
25,Rural,2,7,Sedan,15780,704,1,Married,1362.56
63,Urban,4,45,Sports,10804,649,0,Married,1798.14
33,Suburban,1,15,Sedan,18824,617,0,Married,1364.5
31,Urban,1,13,SUV,16436,677,0,Married,1328.53
29,Urban,1,11,Truck,14686,749,0,Married,1246.51
68,Suburban,2,50,SUV,15563,713,0,Single,1049.34
40,Rural,1,22,Sedan,12132,630,1,Married,1238.31
32,Rural,1,14,Sports,11494,675,0,Single,1518.27
45,Suburban,3,27,SUV,12301,692,1,Single,1717.17
51,Urban,2,33,SUV,15999,615,1,Single,1747.57
19,Urban,1,1,Sedan,14804,735,0,Single,1232.96
49,Suburban,1,31,SUV,12309,688,0,Married,995.67
40,Urban,3,22,SUV,16998,630,0,Married,1841.99
39,Urban,0,21,Sedan,13304,627,0,Married,1206.27
68,Urban,2,50,Sedan,11226,755,1,Married,1111.22
42,Urban,3,24,Truck,15017,680,1,Married,1851.21
39,Urban,0,21,Sedan,9947,759,0,Single,891.68
39,Urban,3,21,Sedan,7251,778,0,Married,1161.05
66,Urban,2,48,SUV,13979,751,1,Married,1438.71
69,Urban,3,51,Truck,11370,673,0,Single,1194.9
59,Rural,2,41,Sedan,12983,575,1,Married,1315.87
23,Urban,2,5,SUV,10133,715,1,Single,1747.64
32,Urban,3,14,Sedan,18835,804,2,Single,1830.58
71,Suburban,2,53,Sedan,11354,698,0,Single,962.22
60,Urban,3,42,Sedan,12272,600,0,Single,1550.99
54,Rural,2,36,Truck,15511,666,1,Married,1316.24
50,Suburban,0,32,Sedan,8493,690,0,Married,625.88
25,Urban,1,7,Sedan,8197,645,1,Single,1325.28
70,Urban,3,52,SUV,15523,571,0,Married,1511.3
61,Rural,2,43,Truck,12220,695,0,Married,926.48
61,Rural,3,43,Sedan,10394,660,0,Single,1058.7
22,Urban,1,4,SUV,16413,788,0,Single,1371.45
56,Suburban,2,38,Sedan,10752,705,1,Married,1085.46
21,Urban,0,3,SUV,12901,723,2,Married,1609.53
23,Rural,1,5,SUV,10415,694,0,Married,1230.82
62,Urban,1,44,SUV,15213,704,1,Single,1409.74
49,Rural,0,31,Sedan,19328,617,0,Married,929.84
69,Suburban,4,51,Sedan,6555,647,1,Single,1240.11
47,Suburban,6,29,Sedan,14450,754,1,Single,1826.89
64,Suburban,4,46,Sedan,17426,710,1,Married,1641.58
52,Urban,3,34,Sedan,12314,680,1,Single,1586.51
72,Urban,1,54,Truck,9475,724,0,Single,815.38
57,Urban,4,39,Sports,15683,725,0,Single,1776.2
69,Urban,2,51,Sports,18006,799,0,Single,1222.98
33,Suburban,3,15,Truck,17562,708,0,Married,1603.23
30,Urban,2,12,SUV,15463,646,0,Married,1621.13
67,Urban,0,49,Truck,14391,694,0,Single,762.05
59,Rural,2,41,Sedan,10403,730,0,Single,798.98
47,Rural,2,29,SUV,17460,749,0,Single,1198.73
36,Rural,3,18,SUV,17239,619,1,Married,1768.78
34,Rural,1,16,SUV,9447,712,1,Single,1294.12
73,Urban,0,55,Truck,15457,655,0,Married,842.91
36,Urban,1,18,Sedan,16611,671,0,Single,1331.32
45,Suburban,3,27,Sedan,17528,742,0,Single,1185.07
72,Suburban,1,54,Sports,13700,737,2,Married,1428.36
43,Urban,1,25,Sedan,10569,666,0,Married,1098.41
54,Rural,2,36,SUV,11991,692,0,Single,1197.98
43,Urban,5,25,Sports,9971,673,0,Married,1957.37
70,Urban,4,52,SUV,13795,844,0,Married,1384.72
40,Suburban,2,22,SUV,13012,713,0,Married,1338.58
26,Suburban,2,8,Sedan,22580,658,1,Married,1767.58
29,Suburban,5,11,Sedan,17578,766,2,Married,2069.83
70,Urban,1,52,Truck,17878,767,1,Married,1220.84
18,Rural,2,0,SUV,15885,789,1,Single,1524.43
18,Urban,1,0,SUV,12530,804,0,Married,1277.72
64,Urban,3,46,Sedan,12898,735,2,Married,1692.06
51,Rural,0,33,Sedan,13264,682,1,Single,924.38
49,Rural,0,31,Sports,14752,689,0,Single,1088.19
71,Rural,2,53,Sedan,15556,685,0,Single,765.52
65,Rural,1,47,SUV,14002,679,0,Married,1146.1
42,Suburban,1,24,Sedan,12837,761,1,Married,1238.09
57,Suburban,2,39,SUV,11623,700,0,Married,1188.79
62,Urban,1,44,Sports,8429,748,0,Single,1122.68
70,Urban,2,52,SUV,19133,733,0,Married,1279.83
18,Urban,2,0,Sedan,22822,645,1,Married,1909.17
33,Urban,3,15,SUV,18797,614,0,Single,1828.37
56,Suburban,3,38,Truck,8963,638,0,Married,1191.78
22,Urban,1,4,SUV,17148,678,0,Married,1550.25
39,Urban,1,21,Truck,18095,706,0,Married,1278.04
46,Urban,1,28,SUV,12386,667,0,Married,1210.73
72,Suburban,2,54,Truck,15955,735,1,Married,1324.24
20,Urban,2,2,SUV,12174,673,0,Single,1449.34
29,Rural,1,11,Sedan,20115,712,0,Married,1178.2
43,Urban,1,25,Sedan,15461,705,1,Single,1468.86
33,Urban,3,15,Sedan,10331,786,1,Single,1434.0
68,Suburban,1,50,Sports,16679,651,1,Single,1517.65
54,Rural,5,36,Truck,18235,810,0,Married,1304.22
39,Urban,2,21,SUV,14792,670,0,Single,1523.08
74,Suburban,3,56,Sedan,15917,632,0,Single,1143.47
46,Suburban,0,28,Sedan,13720,689,2,Single,1447.66
31,Urban,3,13,Truck,9462,850,3,Married,2205.23
45,Rural,0,27,SUV,13393,744,0,Married,824.12
22,Suburban,4,4,Sedan,16092,730,0,Married,1378.86
64,Suburban,1,46,SUV,13487,739,1,Married,1284.4
66,Rural,2,48,Sedan,17203,661,0,Married,1146.88
47,Rural,3,29,Sedan,12431,716,0,Single,1135.74
63,Suburban,1,45,SUV,12693,700,0,Married,897.62
69,Rural,0,51,Sedan,17324,790,1,Single,760.47
22,Suburban,2,4,Sports,14887,694,1,Single,1884.45
29,Suburban,2,11,Sedan,12353,681,0,Single,1336.08
33,Suburban,2,15,Sedan,18135,641,0,Married,1251.4
43,Suburban,0,25,Sedan,11245,707,0,Married,834.16
43,Urban,3,25,Truck,11092,714,0,Married,1310.95
65,Rural,5,47,SUV,5000,639,0,Single,1359.18
38,Rural,1,20,SUV,11784,722,1,Married,1273.13
56,Urban,2,38,Sedan,19234,711,1,Single,1481.69
53,Rural,2,35,Sedan,5710,750,0,Single,778.89
50,Urban,6,32,SUV,10192,760,0,Single,1584.21
47,Urban,1,29,Truck,15756,704,0,Married,1287.03
54,Suburban,2,36,Truck,5020,648,0,Single,1106.42
40,Urban,1,22,Sedan,11957,658,0,Married,1093.5
27,Rural,1,9,SUV,18563,788,0,Married,1374.54
71,Rural,2,53,Sports,22172,708,0,Married,1390.22
22,Suburban,0,4,Sedan,15160,787,0,Married,955.57
53,Urban,4,35,Truck,10294,724,1,Single,1815.93
51,Urban,2,33,Sedan,10159,737,0,Single,1263.07
69,Suburban,3,51,Sports,14579,746,1,Married,1643.15
48,Rural,1,30,Truck,15123,638,1,Married,1390.58
27,Suburban,1,9,Sports,21431,715,0,Married,1554.16
36,Urban,3,18,SUV,17883,638,1,Married,1968.53
49,Suburban,2,31,Sedan,14336,685,2,Single,1615.63
18,Suburban,2,0,Sports,12659,732,0,Single,1706.37
73,Suburban,0,55,Sedan,26058,648,0,Married,968.15
22,Urban,1,4,Sedan,16506,727,0,Single,1357.07
62,Suburban,2,44,Truck,11324,625,0,Single,1200.12
21,Suburban,0,3,Truck,13101,757,0,Married,971.94
33,Rural,4,15,Sports,10490,666,0,Single,1680.5
41,Urban,5,23,Sedan,5000,648,0,Married,1520.36
33,Suburban,0,15,Truck,15250,628,1,Married,1444.53
72,Rural,0,54,Truck,21129,671,2,Married,1439.51
19,Urban,6,1,Sedan,7477,604,1,Single,2107.86
66,Rural,0,48,Sedan,14221,672,1,Single,891.57
45,Suburban,1,27,Sedan,11172,754,0,Married,991.88
49,Urban,0,31,Sedan,16086,690,0,Single,984.3
44,Urban,3,26,Sports,13310,641,0,Single,1892.19
37,Suburban,2,19,SUV,8559,711,0,Single,1241.93
41,Urban,3,23,Truck,10075,706,0,Single,1449.8
29,Suburban,5,11,Sports,10678,797,0,Single,1809.82
67,Urban,5,49,Sedan,19377,739,0,Married,1512.86
52,Suburban,2,34,Truck,19173,715,0,Single,1084.59
50,Urban,3,32,SUV,12754,745,0,Single,1347.48
50,Rural,6,32,Truck,18911,693,0,Married,1693.82
68,Rural,3,50,Sedan,13307,696,0,Married,1024.97
60,Rural,2,42,Sports,12693,782,1,Single,1576.69
54,Suburban,3,36,Sedan,14228,618,1,Single,1525.32
29,Urban,1,11,Sedan,15139,748,1,Married,1591.03
20,Suburban,1,2,Truck,11778,694,0,Married,1229.77
18,Urban,4,0,Sedan,14087,685,0,Married,1852.67
50,Urban,0,32,SUV,17149,672,0,Married,1280.98
57,Urban,6,39,SUV,14518,707,0,Single,1679.92
27,Urban,2,9,Truck,14171,697,0,Married,1521.77
60,Suburban,3,42,Sedan,15976,679,1,Single,1446.02
61,Suburban,2,43,Sedan,16666,664,0,Married,1168.55
46,Urban,0,28,Sedan,13749,604,1,Married,1359.91
30,Urban,1,12,SUV,12103,663,1,Married,1636.32
29,Rural,4,11,Sedan,14756,674,1,Single,1845.25
48,Urban,3,30,Sedan,7624,707,2,Single,1719.99
63,Urban,3,45,Sedan,13158,798,0,Married,1139.01
19,Urban,5,1,Sedan,5000,669,0,Married,1696.96
68,Suburban,1,50,SUV,7296,648,1,Married,1380.11
67,Suburban,4,49,Truck,6695,664,0,Single,1180.59
52,Urban,1,34,Sedan,18189,707,0,Single,1054.92
40,Urban,1,22,SUV,14055,729,0,Married,1419.78
34,Suburban,1,16,SUV,8951,736,0,Single,1083.77
43,Suburban,0,25,SUV,15964,741,1,Married,1444.07
25,Urban,1,7,Truck,17954,748,1,Married,1706.49
46,Rural,4,28,SUV,16033,686,0,Married,1458.03
43,Urban,2,25,SUV,13245,802,0,Married,1060.35
27,Urban,1,9,Sedan,14929,682,0,Married,1303.0
43,Rural,1,25,SUV,17605,705,2,Single,1642.74
51,Urban,1,33,SUV,12123,764,0,Married,1214.57
68,Suburban,2,50,Sedan,14119,728,0,Single,1074.63
58,Urban,2,40,Sedan,12971,587,3,Married,1971.57
24,Urban,0,6,Sports,7546,700,0,Single,1551.31
21,Rural,2,3,SUV,17666,743,0,Married,1449.03
70,Urban,1,52,SUV,22229,632,0,Single,1402.78
67,Rural,2,49,Sports,10504,737,0,Single,1205.93
62,Urban,2,44,Truck,17850,719,0,Married,1039.0
28,Urban,0,10,SUV,10632,759,0,Single,1131.44
46,Urban,2,28,Truck,14531,665,2,Married,1776.89
73,Suburban,0,55,Truck,20032,749,0,Married,772.72
53,Urban,3,35,SUV,11918,707,0,Single,1502.27
42,Rural,4,24,SUV,13941,788,1,Married,1601.63
38,Urban,4,20,Sedan,6793,839,1,Single,1584.2
74,Rural,3,56,Sports,11343,776,0,Single,1208.32
53,Urban,3,35,SUV,6374,724,0,Single,1165.78
27,Rural,2,9,Sedan,15716,816,0,Married,783.66
54,Suburban,0,36,Truck,17326,730,0,Single,947.77
26,Suburban,2,8,SUV,13113,654,1,Married,1726.3
41,Rural,3,23,Sedan,15143,698,0,Married,1114.45
52,Suburban,1,34,SUV,12697,738,0,Married,867.39
66,Suburban,2,48,SUV,16962,741,1,Single,1281.46
52,Urban,1,34,Truck,14517,643,1,Married,1487.81
65,Urban,1,47,Sedan,6057,645,0,Married,989.94
53,Rural,2,35,Truck,17759,682,0,Married,1178.25
35,Suburban,3,17,SUV,12441,726,1,Married,1838.42
66,Suburban,2,48,Sedan,8918,733,1,Married,992.71
56,Urban,0,38,Sports,12244,707,0,Single,1363.27
49,Urban,3,31,SUV,6391,658,1,Married,1681.59
41,Urban,2,23,Sedan,9000,786,0,Single,1137.47
40,Suburban,2,22,SUV,14571,646,1,Single,1625.91
49,Urban,0,31,Truck,14906,765,1,Married,1341.26
54,Urban,4,36,Sedan,15225,736,0,Single,1401.9
29,Urban,2,11,Sedan,14012,764,0,Single,1204.24
66,Urban,2,48,Sedan,11228,677,1,Married,1313.72
72,Suburban,1,54,Sedan,13782,692,2,Single,1288.77
30,Urban,2,12,Truck,12251,702,0,Married,1479.68
40,Suburban,2,22,SUV,7496,676,0,Married,1150.46
42,Urban,2,24,Sedan,10910,711,0,Married,1198.21
52,Urban,4,34,Sedan,17558,778,0,Married,1399.9
58,Urban,0,40,Sedan,20353,635,0,Single,1092.1
47,Urban,1,29,Sports,16605,667,4,Single,2727.27
34,Urban,4,16,Sedan,20174,661,1,Single,2046.51
66,Urban,0,48,Sports,14341,695,0,Single,1243.87
37,Suburban,0,19,SUV,20969,693,1,Married,1500.7
65,Urban,3,47,Sedan,22217,738,0,Married,1295.82
42,Suburban,0,24,Truck,7066,701,2,Single,1458.82
39,Rural,1,21,SUV,14885,715,1,Single,1176.21
30,Suburban,0,12,Truck,14345,719,0,Single,1066.52
36,Urban,1,18,Sports,12303,712,1,Single,1650.1
66,Urban,2,48,Sedan,15967,735,1,Married,1426.83
53,Urban,2,35,Sedan,14164,693,0,Single,1182.88
29,Urban,1,11,Truck,11058,782,1,Married,1411.54
58,Rural,2,40,Sedan,13893,827,0,Single,833.57
36,Urban,3,18,Sedan,18818,735,1,Single,1744.0
29,Urban,0,11,Sedan,14730,711,1,Married,1259.59
26,Suburban,3,8,Sedan,16507,731,0,Married,1396.01
24,Suburban,1,6,Truck,12891,644,0,Married,1321.85
45,Suburban,4,27,Sedan,15808,709,0,Married,1219.17
31,Urban,5,13,SUV,9163,663,0,Single,1775.92
48,Urban,1,30,SUV,12001,725,0,Single,1160.16
69,Suburban,1,51,SUV,13589,663,0,Married,1015.84
36,Urban,4,18,Sedan,8894,682,0,Married,1354.19
64,Urban,1,46,Truck,10679,606,0,Married,1274.35
33,Urban,1,15,Sedan,15252,641,0,Single,1313.07
70,Urban,3,52,Truck,14519,717,0,Married,1246.04
22,Urban,2,4,Truck,17225,656,1,Single,1928.44
52,Urban,0,34,SUV,11597,753,1,Married,1149.65
29,Suburban,1,11,SUV,14230,652,1,Married,1669.09
42,Suburban,2,24,SUV,11312,722,1,Single,1453.97
69,Rural,1,51,Sedan,16824,661,3,Married,1489.2
38,Urban,4,20,Truck,18762,719,0,Single,1736.27
53,Urban,3,35,Truck,15933,623,0,Married,1689.66
70,Urban,0,52,Sedan,18244,677,0,Single,970.64
40,Suburban,2,22,SUV,14129,657,1,Married,1738.73
33,Suburban,4,15,Sports,17222,744,0,Single,1806.27
74,Urban,2,56,Sports,14301,723,0,Married,1218.25
56,Rural,1,38,SUV,9900,638,0,Married,1162.51
62,Urban,2,44,SUV,14986,689,0,Married,1490.74
70,Suburban,2,52,Sedan,10018,661,1,Single,1343.05
59,Suburban,2,41,Sports,23356,747,0,Married,1464.26
56,Rural,1,38,Sedan,12663,763,0,Single,601.98
31,Suburban,0,13,SUV,16580,627,0,Married,1203.63
48,Rural,3,30,Sedan,13950,741,0,Single,905.38
22,Urban,6,4,Sedan,9065,658,1,Married,2132.24
52,Rural,1,34,SUV,6405,687,1,Single,1330.14
40,Urban,2,22,Sports,16996,701,0,Single,1709.27
46,Rural,2,28,Sedan,20197,790,3,Single,1770.19
60,Suburban,2,42,SUV,11060,649,3,Single,2089.96
28,Rural,2,10,Sedan,7373,741,2,Single,1474.69
35,Urban,2,17,Sedan,12699,641,0,Married,1592.54
64,Suburban,1,46,SUV,10251,637,1,Married,1505.47
29,Suburban,4,11,SUV,11398,701,0,Married,1604.36
26,Suburban,3,8,Sedan,16441,701,0,Married,1389.36
27,Urban,0,9,Sedan,13798,558,1,Single,1673.69
61,Urban,2,43,Sedan,10681,757,0,Married,941.96
34,Urban,2,16,Sedan,16354,593,1,Single,1658.15
55,Urban,3,37,Sports,16667,692,0,Married,1860.13
24,Rural,1,6,Sports,12651,766,2,Single,1990.41
63,Urban,2,45,Sedan,14551,810,0,Single,954.82
30,Rural,0,12,SUV,16082,681,0,Single,1003.44
57,Urban,3,39,Sports,15704,628,0,Married,1674.61
59,Urban,3,41,Sedan,14162,764,0,Single,1165.15
26,Suburban,2,8,Truck,19730,743,2,Married,1863.46
67,Suburban,0,49,Sports,16330,675,0,Single,1162.34
44,Urban,3,26,Sedan,12197,669,0,Married,1489.65
19,Suburban,2,1,Sedan,12221,664,0,Married,1448.63
22,Suburban,4,4,Sports,11767,682,0,Single,2095.32
46,Urban,1,28,SUV,16528,715,2,Married,1678.36
54,Rural,3,36,Sedan,11509,671,1,Married,1309.82
55,Rural,2,37,Sedan,12300,678,1,Married,1293.4
36,Suburban,4,18,SUV,18232,732,0,Married,1662.29
25,Urban,0,7,SUV,14766,625,1,Married,1837.23
65,Suburban,2,47,Truck,18794,681,1,Married,1472.46
62,Urban,1,44,Sports,17192,616,0,Single,1742.69
18,Urban,1,0,Sedan,9293,705,0,Married,1311.9
39,Urban,1,21,SUV,13591,603,0,Single,1563.58
69,Urban,0,51,SUV,17959,744,1,Single,1169.03
34,Rural,1,16,SUV,9111,634,1,Married,1435.09
24,Suburban,2,6,Sedan,15678,611,1,Single,1807.76
42,Suburban,3,24,Sports,13843,681,1,Single,2121.44
62,Urban,5,44,Truck,6980,785,0,Married,1404.12
21,Urban,3,3,SUV,14478,735,0,Married,1648.35
53,Urban,2,35,SUV,10650,603,0,Married,1558.98
23,Rural,4,5,Sedan,9329,632,0,Married,1268.74
48,Urban,3,30,SUV,14036,680,1,Married,1624.32
36,Rural,2,18,SUV,6276,811,0,Single,1047.8
61,Suburban,1,43,SUV,11302,653,1,Single,1323.44
71,Urban,1,53,Sports,24204,653,0,Married,1596.11
56,Suburban,4,38,SUV,16600,776,0,Single,1373.44
44,Urban,5,26,Sedan,10474,709,1,Married,1848.7
27,Rural,1,9,Truck,19616,752,0,Married,1088.8
43,Rural,3,25,Sedan,10031,663,0,Single,1229.01
36,Urban,2,18,Sedan,11785,694,1,Married,1637.22
56,Urban,1,38,Sedan,9404,765,1,Married,1237.62
20,Suburban,2,2,SUV,15024,692,0,Married,1718.72
62,Rural,1,44,Truck,19474,756,0,Married,906.52
30,Urban,2,12,SUV,10003,719,0,Married,1448.94
67,Suburban,1,49,Truck,5758,648,0,Single,746.05
45,Suburban,0,27,SUV,18363,699,0,Married,1063.8
37,Suburban,2,19,Sedan,20215,749,0,Married,1204.42
45,Urban,1,27,Truck,6019,733,1,Married,1405.82
25,Suburban,2,7,Sedan,15840,697,1,Married,1521.0
58,Rural,3,40,Sedan,14906,605,0,Married,1291.72
56,Urban,0,38,SUV,10850,610,0,Single,1149.59
18,Urban,0,0,Sedan,8422,620,0,Married,1234.61
20,Rural,2,2,Sedan,17967,674,0,Married,1363.39
30,Urban,1,12,SUV,14716,681,0,Single,1390.12
45,Rural,2,27,SUV,15017,626,2,Single,1773.35
74,Urban,3,56,SUV,11512,751,2,Married,1493.7
66,Urban,2,48,Sports,10792,636,1,Married,1745.08
42,Rural,3,24,SUV,5000,631,0,Married,1254.5
73,Urban,3,55,Truck,13087,704,0,Married,1164.71
50,Suburban,3,32,Sedan,19755,748,0,Married,1276.01
55,Urban,2,37,SUV,10438,802,0,Married,1169.43
70,Suburban,0,52,Truck,7910,729,0,Married,688.37
23,Urban,2,5,SUV,15742,778,3,Single,2324.67
61,Urban,2,43,Truck,16480,639,1,Married,1648.26
62,Rural,2,44,Sedan,11656,807,0,Married,678.83
49,Urban,3,31,Sedan,12604,606,0,Married,1401.77
62,Suburban,1,44,SUV,15055,674,1,Married,1370.11
64,Urban,2,46,Sedan,13377,728,1,Married,1344.03
38,Suburban,0,20,Truck,18000,619,0,Single,1377.28
33,Urban,0,15,Sedan,23748,653,1,Single,1681.84
71,Rural,2,53,Sports,7163,645,0,Single,1157.8
38,Urban,3,20,Sports,18919,684,0,Single,1903.58
28,Urban,1,10,Sedan,14421,771,0,Married,1222.92
54,Urban,1,36,Sedan,19552,700,1,Single,1488.08
53,Urban,4,35,Truck,16897,676,0,Single,1689.35
52,Suburban,1,34,Sports,14244,555,0,Married,1578.77
36,Urban,2,18,SUV,17040,723,1,Married,1597.7
37,Rural,0,19,Sedan,12423,739,1,Single,931.95
74,Urban,4,56,SUV,10902,614,0,Married,1507.79
35,Urban,3,17,SUV,17243,696,1,Married,1928.87
64,Suburban,2,46,Sedan,10622,709,0,Single,813.96
58,Suburban,2,40,Truck,16569,748,0,Single,1106.99
66,Urban,3,48,Sedan,14122,663,2,Married,1812.45
31,Urban,3,13,Sedan,5000,656,0,Married,1287.88
32,Urban,1,14,Sedan,11702,677,1,Married,1584.53
48,Suburban,3,30,Sedan,15339,764,1,Single,1372.33
18,Suburban,3,0,Sedan,12375,752,1,Single,1749.39
70,Urban,0,52,SUV,5000,698,0,Married,764.65
71,Rural,4,53,Sedan,19283,750,2,Single,1473.58
71,Rural,4,53,Sedan,14677,581,0,Single,1214.84
20,Suburban,2,2,Sedan,15774,739,1,Married,1548.6
33,Rural,2,15,Sports,12106,644,2,Single,2052.74
40,Urban,2,22,SUV,16125,788,3,Married,2058.27
74,Urban,0,56,SUV,21339,646,1,Married,1392.48
28,Urban,2,10,SUV,11059,657,0,Single,1529.27
29,Urban,2,11,Sports,20668,728,1,Married,2069.41
27,Suburban,3,9,Sedan,15594,732,0,Single,1208.99
49,Rural,0,31,SUV,10522,677,2,Married,1439.5
33,Urban,1,15,Truck,22849,718,1,Single,1662.81
25,Urban,3,7,SUV,15566,724,0,Single,1818.52
55,Urban,3,37,Sedan,16705,719,1,Married,1448.12
29,Rural,4,11,SUV,12922,679,0,Married,1392.5
41,Urban,0,23,Sedan,10814,725,0,Married,1008.52
45,Suburban,3,27,SUV,14671,770,0,Single,1349.72
70,Urban,1,52,Truck,20325,638,0,Single,1107.03
25,Urban,2,7,Sedan,12761,657,2,Married,1792.94
45,Rural,5,27,Truck,13892,701,1,Married,1900.62
53,Rural,0,35,Sedan,19825,647,0,Single,1044.29
43,Urban,1,25,Truck,12798,609,1,Married,1355.72
25,Rural,3,7,SUV,16041,754,0,Married,1373.79
67,Suburban,3,49,Sedan,17509,588,1,Married,1721.05
45,Rural,1,27,Sedan,13212,679,1,Married,1142.07
45,Urban,0,27,Sports,15239,737,0,Single,1314.02
54,Suburban,3,36,Sedan,16644,713,0,Married,1179.88
58,Urban,3,40,Sedan,12396,680,0,Single,1149.85
53,Suburban,0,35,Sedan,17263,645,0,Married,796.97
44,Urban,2,26,SUV,11812,717,0,Married,1444.93
71,Urban,0,53,SUV,11299,650,2,Married,1292.19
34,Urban,4,16,Sedan,7891,713,0,Married,1481.59
26,Suburban,0,8,Sedan,11986,707,0,Married,1099.95
50,Urban,2,32,Sedan,10737,707,2,Married,1495.43
70,Suburban,1,52,Sedan,12396,667,1,Married,1003.01
37,Rural,0,19,SUV,16447,801,0,Married,1020.52
30,Urban,1,12,Truck,7097,717,0,Married,1264.24
45,Suburban,2,27,Sedan,6101,686,0,Single,980.79
65,Urban,5,47,Sedan,11003,713,0,Single,1495.77
46,Rural,1,28,Sedan,15844,661,0,Single,1118.81
30,Urban,3,12,Sports,15155,680,1,Married,2204.23
63,Suburban,1,45,Sports,10939,819,0,Married,961.57
52,Rural,5,34,Truck,18677,661,0,Married,1531.31
23,Rural,2,5,Sedan,11366,696,0,Married,1211.13
35,Suburban,0,17,Sedan,15849,677,0,Married,1023.38
68,Urban,1,50,Sedan,12548,648,0,Single,1086.12
22,Suburban,2,4,Sedan,10524,721,0,Single,1087.38
64,Rural,0,46,SUV,11579,701,0,Single,610.76
42,Suburban,1,24,Truck,16936,745,0,Single,1138.63
19,Urban,3,1,Truck,15444,740,0,Married,1580.51
27,Rural,0,9,Truck,17872,745,1,Married,1221.88
73,Suburban,0,55,Sedan,15443,654,0,Married,589.84
47,Suburban,2,29,SUV,7555,732,0,Married,1131.28
67,Urban,2,49,Sedan,22457,733,0,Married,1136.08
62,Suburban,2,44,Sedan,15500,648,0,Single,1169.85
22,Urban,4,4,Truck,16058,684,0,Married,1825.76
72,Suburban,3,54,Sedan,12492,627,0,Single,1117.62
73,Urban,1,55,SUV,18452,733,0,Single,1180.98
50,Suburban,3,32,Sedan,9627,733,1,Single,1223.66
71,Rural,1,53,SUV,16439,771,0,Married,845.72
18,Urban,3,0,Truck,5681,688,0,Single,1402.1
35,Rural,3,17,Sedan,16708,722,2,Single,1663.78
49,Urban,2,31,Truck,9681,749,1,Married,1298.45
64,Rural,3,46,Sedan,15107,662,2,Married,1659.8
66,Suburban,2,48,SUV,19429,654,1,Single,1515.89
28,Suburban,3,10,Truck,17290,663,0,Single,1599.5
38,Suburban,1,20,SUV,18897,682,0,Married,1215.78
43,Rural,3,25,Sports,18483,656,1,Single,1929.28
42,Urban,2,24,Sedan,11902,666,0,Married,1207.18
39,Urban,4,21,SUV,16393,744,1,Married,1936.24
44,Suburban,3,26,SUV,7100,695,0,Single,1222.89
66,Rural,1,48,Sports,11252,715,0,Single,1221.26
30,Suburban,1,12,Sedan,19570,672,0,Single,1097.99
50,Suburban,2,32,Truck,12459,669,0,Single,1142.73
51,Urban,4,33,SUV,6527,714,0,Single,1616.63
58,Rural,2,40,Sedan,22054,706,2,Married,1504.3
52,Urban,3,34,SUV,16249,738,0,Single,1299.25
18,Suburban,1,0,Sedan,17057,765,0,Married,1206.26
38,Urban,2,20,SUV,10078,665,1,Married,1642.13
65,Urban,4,47,Truck,15136,743,0,Single,1288.95
72,Urban,4,54,SUV,15030,646,1,Single,1650.86
23,Urban,1,5,SUV,10714,803,0,Single,1519.05
45,Suburban,3,27,SUV,13320,660,1,Single,1684.64
34,Urban,0,16,Sedan,7998,734,0,Married,754.41
22,Urban,2,4,Sedan,12613,645,1,Single,1885.07
48,Urban,5,30,SUV,17895,692,1,Married,2107.53
22,Urban,1,4,Sedan,11012,777,4,Single,2067.03
55,Urban,2,37,Sedan,21629,659,0,Married,1242.62
20,Urban,2,2,SUV,8255,810,0,Married,1406.17
70,Suburban,0,52,Sedan,12959,699,2,Married,1161.19
40,Suburban,3,22,Sedan,11374,748,4,Single,1996.01
54,Suburban,1,36,SUV,13279,720,0,Single,1235.91
70,Urban,4,52,Sedan,19485,722,0,Married,1285.88
54,Urban,5,36,Sports,10062,628,0,Single,2126.49
27,Rural,3,9,Truck,12194,676,1,Single,1790.75
27,Suburban,2,9,Truck,16618,759,1,Married,1484.67
36,Urban,0,18,Sedan,14372,682,0,Married,1207.9
34,Urban,3,16,Truck,14700,706,0,Married,1484.36
38,Urban,1,20,Truck,10138,622,0,Married,1148.4
31,Urban,1,13,Truck,13713,673,0,Married,1325.74
26,Urban,1,8,Sedan,18526,756,0,Married,1295.65
63,Suburban,1,45,SUV,7561,635,0,Married,980.64
18,Suburban,2,0,Truck,11210,735,0,Married,1330.95
68,Suburban,2,50,SUV,6737,708,0,Married,1099.41
62,Suburban,1,44,SUV,16147,688,1,Single,1344.85
30,Rural,0,12,SUV,18901,686,0,Single,1080.19
21,Suburban,5,3,SUV,13266,675,0,Married,1938.69
18,Rural,0,0,Sedan,9977,679,1,Married,1256.92
66,Urban,0,48,SUV,10095,746,0,Single,602.26
57,Urban,1,39,Sedan,12811,678,1,Married,1332.0
49,Urban,1,31,SUV,12796,790,1,Single,1374.12
51,Suburban,3,33,Sedan,17647,714,0,Married,1247.72
45,Rural,1,27,SUV,11324,671,0,Married,1162.53
48,Urban,0,30,Sedan,15740,748,1,Married,1112.86
25,Rural,1,7,SUV,12778,731,0,Single,1198.82
56,Urban,4,38,Truck,11020,617,0,Married,1415.1
43,Rural,2,25,Sedan,12678,648,0,Single,1154.88
